Dry_molar_flow_rate,Current_set,Pressure,Pump_stoichiometry,Relative_humidity_H2,Relative_humidity_air,Temperature_air,Temperature_hydrogen,Max_CL_ice_cathode
0.71,72.47,217.51,0.06,50.83,60.63,333.41,258.25,4.47
3.68,72.26,192.44,0.14,36.95,78.83,258.57,340.43,12.78
2.32,50.17,213.87,0.03,84.53,38.67,329.47,330.99,4.69
1.58,66.76,153.25,0.1,52.2,75.94,265.59,323.2,25.43
0.49,81.11,212.58,0.07,31.4,81.75,256.68,292.9,4.39
1.35,82.32,175.69,0.12,58.83,86.97,288.84,313.94,18.65
1.77,45,209.75,0.05,97.58,91.72,315.48,306.11,15.28
3.77,71.86,225.82,0.13,90.06,72.19,302.19,329.4,4
1.88,45.35,213.68,0.11,90.5,67.49,306.24,320.73,20.56
0.82,33.6,254.33,0.07,63.84,78.12,272.55,324.14,15.11
3.04,82.12,189.76,0.08,43.04,48.52,322.83,319.47,11.78
1.21,92.47,217.51,0.06,50.83,60.63,333.41,258.25,5.53
0.48,28.12,243.46,0.09,54.05,98.1,339.63,324.15,11.01
2.33,73.06,220.48,0.03,55.07,44.73,264.75,320.71,6.75
1.15,54.63,210.14,0.02,44.64,97.34,279.44,278.97,8.31
0.99,89.47,235.9,0.12,66.43,62.3,323.4,314.25,4.05
2.72,92.26,192.44,0.14,36.95,78.83,258.57,340.43,14.65
0.73,22.32,175.69,0.12,58.83,86.97,288.84,313.94,29.1
0.63,22.06,175.79,0.02,54.78,69.9,306.33,302.81,11.53
2.16,77.61,189.71,0.14,45.18,34.49,315.47,304.02,22.62
3.28,67.86,251.07,0.13,53.62,34.97,260.99,311.49,20.99
2.27,42.06,175.79,0.02,54.78,69.9,306.33,302.81,9.48
2.26,62.12,189.76,0.08,43.04,48.52,322.83,319.47,16.72
1.17,78.88,251.37,0.1,71.77,79.31,256.02,323.68,7.12
1.49,79.18,152.25,0.1,74.45,44.62,267.67,342.73,4.48
0.48,43.59,142.22,0.03,62.44,85.56,273.3,331.86,8.26
