Dry_molar_flow_rate,Current_set,Pressure,Pump_stoichiometry,Relative_humidity_H2,Relative_humidity_air,Temperature_air,Temperature_hydrogen,Work_time
1.09,42.12,189.76,0.08,43.04,48.52,322.83,319.47,43.31
0.97,44.33,208.21,0.03,52.69,31.32,308.74,266.62,43.34
1.26,44.45,214.03,0.06,93.18,96.06,314.51,293.65,42.41
0.78,52.26,192.44,0.14,36.95,78.83,258.57,340.43,43.98
1.37,53.06,220.48,0.03,55.07,44.73,264.75,320.71,42.27
0.7,52.16,183.65,0.06,32.69,69.91,292.62,310.23,42.31
1.98,59.18,152.25,0.1,74.45,44.62,267.67,342.73,43.73
0.4,46.76,153.25,0.1,52.2,75.94,265.59,323.2,47.18
0.47,58.99,184.25,0.1,30.95,87.47,261.89,309.21,44.15
1.69,53.47,151.53,0.15,91.47,98.35,295.33,299.02,45.74
1.96,41.11,212.58,0.07,31.4,81.75,256.68,292.9,47.06
0.64,59.59,154.42,0.06,63.66,50.73,263.84,315.13,43.85
0.7,57.61,189.71,0.14,45.18,34.49,315.47,304.02,42
1.18,57.3,171.85,0.08,94.17,66.63,261.6,336.05,42.75
0.35,52.94,225.96,0.13,48.53,50.26,269.64,288.95,45.47
1.21,51.06,142.41,0.03,55.89,88.03,253.57,266.33,47.12
0.52,57.83,254.33,0.11,61.44,61.3,329.33,341.22,39.31
1.43,42.32,175.69,0.12,58.83,86.97,288.84,313.94,46.25
1.77,45,209.75,0.05,97.58,91.72,315.48,306.11,42.66
1.48,53.19,200.16,0.08,46.14,96.93,311.11,288.69,42.07
0.91,52.38,212.77,0.08,62.91,31.34,280.29,317.6,42.19
1.35,45.76,174.81,0.06,82.44,73.26,291.74,332.21,44.37
0.36,42.06,175.79,0.02,54.78,69.9,306.33,302.81,38.16
1.8,42.83,184.11,0.02,98.88,60.51,333.42,276.58,44.35
1.63,50.74,224.47,0.07,36.97,37.02,335.9,284.86,41.15
1.46,49.38,259.86,0.13,93.33,40.46,331.28,256.53,41.63
0.41,50.17,213.87,0.03,84.53,38.67,329.47,330.99,37.04
1.63,48.23,208.29,0.03,32.33,58.5,259.38,341.58,43.47
1.43,47.47,194.43,0.07,33.54,80.54,331.12,286.04,40.81
1.95,40.33,242.7,0.04,83.54,30.82,285.55,338.12,42.85
1.49,55,160.6,0.06,64.27,66.47,258.04,283.66,45.79
0.48,43.59,142.22,0.03,62.44,85.56,273.3,331.86,47.35
0.76,58.88,251.37,0.1,71.77,79.31,256.02,323.68,41.55
0.41,50,214.58,0.02,78.94,70.41,274.56,342.47,48.05
1.88,45.35,213.68,0.11,90.5,67.49,306.24,320.73,43.5
